run,group,paper,unit,default_100,repro_100,viability_pass
with_rulepack,nat_siblings,s41586-019-1654-9,unit_006,58,28,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_002,75,14,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_010,67,24,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_004,58,21,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_003,75,28,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_005,58,18,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_008,50,21,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_009,83,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_001,83,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_007,75,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_006,75,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_002,83,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_010,58,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_004,75,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_003,83,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_005,75,8,True
with_rulepack,nat_siblings,s41586-024-08172-8,unit_008,83,8,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_009,51,31,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_001,83,8,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_007,42,28,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_006,76,12,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_002,38,22,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_004,51,28,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_003,42,21,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_005,42,29,True
with_rulepack,nat_siblings,s41467-020-19142-9,unit_008,61,22,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_009,83,8,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_001,67,34,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_007,83,8,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_006,42,21,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_002,58,17,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_010,83,8,True
